Agent,City,Company,Description,Listing_ref,Price_2015,Price_2016,Price_2017,Price_2018,Price_2019,Price_2020,Price_2021,Price_2022,Price_2023,Price_2024,Price_2025,Property_type,Province,Surbub,amenities,bathrooms,bedrooms,building_area,land_area,listing_url
Cris Kusikwenyu,Harare West,/estate-agents/alexcourt,"This lovely property in Madokero features four bedrooms, two of which have master ensuites for added comfort. The home includes a guest wing, making it ideal for visitors or family. The spacious open plan lounge cum dining room provides an excellent space for entertaining, while the modern fitted kitchen is both stylish and functional. Additional highlights include a lock-up garage for secure parking, a walled and gated perimeter for privacy and security, and tiled flooring throughout for easy maintenance. The property also comes with a water tank and a well, ensuring a reliable water supply. The main bedroom features built-in cupboards for added convenience. The asking price is $135,000 USD Negotiable. Don’t miss this fantastic opportunity to own a beautiful home in a sought-after area!",Listing ref: ALX218151,115000.0,110000.0,110000.0,120000.0,100000.0,95000.0,95000.0,110000.0,120000.0,135000.0,"USD 135,000 ",House,Harare,Madokero,"Borehole,Fitted Kitchen,Garage,Good ZESA,Internet Connection,Main En Suite,Municipal Water,Paved,Solar System,Study/Office,Tarred Roads,Tiled,Walled,Water Tank",3,4,250 m²,450 m²,https://www.property.co.zw//for-sale/houses-alx218151
Lyn Robinson,Harare North,/estate-agents/pam-golding,"On offer is this Unique, brick under tile, 4 Bedroom Double Storey Family Home in Phase 3 of Mount Pleasant Heights, with stunning neighbouring properties and upcoming modern development in the area. The family home requires interior finishes in parts, affording the potential buyer the opportunity to complete to taste. The property tiled and spacious throughout comprises 4 Bedrooms, 2 Lounges, 2 Bathrooms, Separate Dining Room, Spacious kitchen which needs completion and double lock up garage. A self contained 2 Bedroom cottage presents a decent rental return. A prolific borehole has given rise to a well established garden. The property is walled all round with sliding gate. 5KVA Solar invertor system, 2000 litre water tank , storeroom, paved driveway are added benefits. The perfect family starter home. Under Cession. Ready for Title.",Listing ref: PGP211411,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 210,000 ",House,Harare,Mount Pleasant Heights,"Borehole,Double Storey,Flatlet/Cottage,Garage,Garden",2,4,,"1,316 m²",https://www.property.co.zw//for-sale/houses-pgp211411
Paula Balneaves,Harare North,/estate-agents/kennan-properties,"The beautiful 7,8 acre property has so much to offer, 4 dwellings, staff accommodation, stables, paddocks, store rooms, prolific water.... and more, a real must view! Main House, 4 bedrooms, 3 bathrooms of which the main is en suite, open plan lounge, dining and office area, another separate office, kitchen with scullery, large veranda overlooking the pool and gardens.  10KVA solar inverter system and a 10KVA generator, double car port. Cottage is 2 bedrooms, 1 bathrooms, open plan lounge and kitchen, with a veranda overlooking the garden. 3rd dwelling, 2 bedrooms, 2 bathrooms, both are en-suite. Open plan lounge, dining and kitchen with a veranda overlooking the garden. Double carport. 4th dwelling, 3 bedrooms 2 bathrooms of which one is en-suite, open plan lounge and dining with a separate kitchen and separate laundry, with 2 verandas. Double car port.",Listing ref: KNP214260,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 1,850,000 ",House,Harare,Philadelphia,"Borehole,Swimming Pool,Burglar Alarm,Carport,Electric Fence,Electric Gate,Entertainment Area,Fireplace,Fitness Center,Fitted Kitchen,Flatlet/Cottage,Garden,Internet Connection,Main En Suite,Parking bay,Paved,Solar System,Staff Quarters,Study/Office,Tarred Roads,Tiled,Verandah,Walled",8,11,4 m²,"32,375 m²",https://www.property.co.zw//for-sale/houses-knp214260
Tanyaradzwa Sango-Moyo,Harare West,/estate-agents/wisdom-properties,"Welcome to this charming 3 bedroom house in Bluffhill, built in the early 1980s on a spacious 2000m2 plot of land. Despite being over four decades old, this solidly constructed home still exudes a sense of newness, thanks to its robust build and careful maintenance. With a few thoughtful updates, this property can easily blend modern style with a hint of classic charm. The interior features a comfortable layout, including a main bedroom en-suite with a shower and toilet, as well as a shared bathroom with a relaxing bathtub and separate toilet. The house has plenty of potential for renovation and personalization, making it an excellent opportunity for buyers looking to put their own stamp on a property.",Listing ref: WSP218307,150000.0,125000.0,120000.0,160000.0,128000.0,140000.0,120000.0,130000.0,130000.0,130000.0,"USD 155,000 ",House,Harare,Bluff Hill,,2,3,350 m²,"2,000 m²",https://www.property.co.zw//for-sale/houses-wsp218307
Lionel Kanyowa,Harare North,/estate-agents/realtor-ville,"Realtor Ville Real Estate is proud to present this beautiful double storey house in Hogerty Hill that you can finish to your own taste.  This property comprises of 5 bedrooms all with built in cabinets, 2 bedrooms are downstairs one with an ensuite.  The ground floor also features a modern fitted kitchen with a pantry and scullery it has a dining area and a cozy and spacious lounge.  This property comes with a laundry area, combined toilet and bathroom, library, a gym and bar area. The first floor is incomplete comprising of 3 bedrooms with 2 of them ensuited.  The main bedroom is spacious and it comes with an ensuite and a kitchenette.  It also comes with a spacious pyjama lounge with balconies.  The property comes with a 3 bedroomed cottage which has an open plan lounge and kitchen, the main bedroom is ensuited and it also has a separate combined toilet and shower. This property has a beautifully manicured garden, a prolific borehole with a 5 000 litre tank, a full solar system, a double lock up garage and a single lock up garage.  It comes with a functional electric fence, walled and gated with an electric gate.",Listing ref: RVL179549,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 500,000 ",House,Harare,Hogerty Hill,"Borehole,Double Storey,Electric Gate,Fitted Kitchen,Good ZESA,Main En Suite,Paved,Sewer System,Solar System,Tarred Roads,Tiled,Verandah,Walled,Water Tank",4,5,750 m²,"2,159 m²",https://www.property.co.zw//for-sale/houses-rvl179549
Yevai Makoni,Harare West,/estate-agents/just-property,2 lounges downstairs 2 bedrooms downstairs all ensuite Dining Kitchen fitted Pantry Guest bathroom Tripple lock up garage Upstairs Lounge Balcony Bar 5 Bedrooms 1 ensuite and master ensuite walk in closet Gym Storeroom Toilet,Listing ref: JSPP209242,115000.0,110000.0,110000.0,120000.0,100000.0,95000.0,95000.0,110000.0,120000.0,135000.0,"USD 350,000 ",House,Harare,Mt Pleasant Heights,"Double Storey,Fitted Kitchen,Garage,Main En Suite,Tiled",8,7,500 m²,"3,000 m²",https://www.property.co.zw//for-sale/houses-jspp209242
Anotida C Gozho,Harare West,/estate-agents/guest-and-tanner,Guest and Tanner presents this exciting new development Manro Gardens. Located in Strathaven a few minutes drive from the CBD and Avondale Shops and Westgate Shopping centre. The property comprises of 16 120 sqm semi detached cluster houses. Features Include - 3 good size bedrooms with the master bedroom ensuite. - Open plan lounge kitchen and dining with high ceilings. - Separate bathroom & toilet with tub and shower. - Each unit will have it's private garden - Secure parking and 24 hour security. - General caretaker - Communal borehole. Terms and conditions - Currently selling off-plan and under development with completion date scheduled for June 2025. - Asking price when complete $160k. - Flexible terms acceptable. Don't miss the chance to invest in this exclusive community. For more detailed information please contact the above agent.,Listing ref: GAT203631,115000.0,110000.0,110000.0,120000.0,100000.0,95000.0,95000.0,110000.0,120000.0,135000.0,"USD 160,000 ",House,Harare,Strathaven,,2,3,320 m²,"16,120 m²",https://www.property.co.zw//for-sale/townhouses-gat203631
Rory Levey,Harare North,/estate-agents/pam-golding,"This grand, incomplete structure is situated on over 8200m2 of prime land just off the prestigious Folyjohn Crescent in Glen Lorne, Harare. With a multi level design and breathtaking valley views, this property offers an unparalleled opportunity to create a customized luxury home. Features: Ground Floor Grandeur: - Double-Height Entrance Hall: A grand entrance leading to a double-floor lounge. - Study & Reading Room: The study includes a private bathroom, while the reading room offers a quiet retreat. - Double Lock-Up Garages: Conveniently positioned on either side of the entrance. - Kitchen & Dining Area: Includes a lockable pantry, scullery, and family lounge/kitchen extension, with a dining room offering stunning valley views. - Guest Bedroom: Equipped with an enlarged door for wheelchair access. Top-Floor Luxury: -Three Bedrooms: The main bedroom has a double ensuite (his and hers), and the two additional bedrooms feature en suite bathrooms and dressing areas. - Wake up to sweeping views of the valley. First Basement Retreat/Entertainment area: - Valley Views: The basement, not visible from the street, enjoys beautiful valley views. - Two Bedrooms: Both bedrooms come with en suite bathrooms/dressing areas. - Entertainment Space: A bar area overlooks a large lounge, and the wellness area includes a gym, toilet, and sauna. - Lift or Spiral Staircase Provision: A space is reserved for either a spiral staircase or a small domestic lift connecting to the upper floors. - Visitor Access: A double door side entrance will allow visitors to access the lounge area without needing to pass through the main house. Second Basement Functionality: - Domestic Quarters: Includes two bedrooms, a toilet, shower, and kitchen for staff accommodation. - External Access: The domestic quarters connect to the main house via an external stairway that leads to the kitchen door. - Engine Room: A large engine room designed to house water pumps and filters for efficient operation of the home. Third Basement Water Management: - Massive Water Storage Facility: This steel and concrete waterproofed structure has the capacity to store liters of rainwater collected from the roof via in-built pipes. It also has the facility to accept water deliveries straight into the tank. O Piping Infrastructure: The house is equipped with piping to supply filtered water from the tank, ensuring a reliable water system. Expansive Plot: -The 8,200+ square meter plot provides ample space for landscaped gardens, outdoor entertainment areas, and other luxury amenities. - Infinity Pool: The land has been pegged for the construction of an infinity pool, accessible from the first basement lounge. Eco-Friendly Roof & Energy Storage: -The concrete roof is designed to carry over 100 solar panels, providing ample energy potential for the entire home. - A dedicated battery room is capable of storing a large number of lithium-ion batteries if required, ensuring consistent energy storage and us",Listing ref: PGP197550,355000.0,280000.0,350000.0,349999.5,422500.0,250000.0,360000.0,320000.0,400000.0,450000.0,"USD 900,000 ",House,Harare,Glen Lorne,"Borehole,Carport,Double Storey,Entertainment Area,Fireplace,Garage,Garden,Main En Suite,Parking bay,Split Level,Staff Quarters,Study/Office,Verandah,Water Tank,Workshop",6,6,900 m²,"8,200 m²",https://www.property.co.zw//for-sale/houses-pgp197550
Margot Kenee,Harare North,/estate-agents/property-link,"** ON SHOW THURSDAY 8th MAY 12:00PM - 2:00PM ** Perfectly positioned in highly sought after area - Close to schools, shops, and medical facilities. Set on 4277 square metres this 8-bedroom, 5-bathroom (2 M. E. S) home offers spacious living in prime location. Main Features Include: - Separate entrance 2-bedroom, 1-bathroom cottage / flatlet, perfect for guests. - Open-plan lounge, bar, and spacious entertainment area. - Veranda deck overlooking the landscaped garden and pool. - 10kVA Solar System - Functional Borehole - 10,000L Water Tanks x 2 - Multiple domestic quarters - Double open garage - Carports x 4 Contact Margot to arrange a viewing",Listing ref: PRL214991,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 695,000 ",House,Harare,Colne Valley,"Borehole,Swimming Pool,Air Conditioning,Burglar Alarm,Carport,Electric Gate,Entertainment Area,Fitted Kitchen,Flatlet/Cottage,Garage,Garden,Internet Connection,Main En Suite,Solar System,Split Level,Staff Quarters,Study/Office,Tiled,Verandah,Walled,Water Tank,Workshop",5,8,,"4,277 m²",https://www.property.co.zw//for-sale/houses-prl214991
Kelvin Gochero,Harare North,/estate-agents/carson-and-carson,"Presenting an enticing opportunity to own a premium property in the serene neighborhood of Crowhill Views, Harare North. This upscale house is situated amidst the tranquil settings of Harare, offering a welcoming atmosphere. Sprawling over an impressive land area of 2100.00 m², this property is a manifestation of fine architecture and modern living. The spacious built-up area of 600.00 m² encompasses 6 well-lit bedrooms and 4 elegantly designed bathrooms, providing ample space for a big family or hosting guests. The striking aesthetic appeal is complemented by practical elements such as top-quality fixtures and fittings, making this house an embodiment of comfort and luxury. The stunning interiors are marked by premium finishing, providing an aura of sophistication. A key feature of this property is the functional borehole that provides a sustainable water supply, ensuring that you are not affected by water shortage issues common in urban areas. This house is undoubtedly a perfect sanctuary for those who value privacy and peaceful living, while still enjoying the conveniences of city life. Its strategic location offers easy access to major amenities and key areas of the city. Fulfil your dream of a luxurious lifestyle at this exquisite property located in one of Harare's most sought-after locales. Don't miss this golden chance to own a timeless piece of real estate. Reach out to us for a viewing and experience the grandeur for yourself.",Listing ref: CAC211256,280000.0,280000.0,288500.0,317500.0,280000.0,270000.0,295000.0,320000.0,400000.0,425000.0,"USD 105,000 ",House,Harare,Crowhill Views,Borehole,4,6,600 m²,"2,100 m²",https://www.property.co.zw//for-sale/houses-cac211256
